"","variable","variable.y","dataset"
"48","B08101_035","estimate_total_walked_20_to_24_years","means_of_transportation_to_work_by_age"
"49","B08101_036","estimate_total_walked_25_to_44_years","means_of_transportation_to_work_by_age"
"50","B08101_037","estimate_total_walked_45_to_54_years","means_of_transportation_to_work_by_age"
"51","B08101_038","estimate_total_walked_55_to_59_years","means_of_transportation_to_work_by_age"
"52","B08101_039","estimate_total_walked_60_to_64_years","means_of_transportation_to_work_by_age"
"53","B08101_040","estimate_total_walked_65_years_and_over","means_of_transportation_to_work_by_age"
"54","B08101_041","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means","means_of_transportation_to_work_by_age"
"55","B08101_042","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_16_to_19_years","means_of_transportation_to_work_by_age"
"56","B08101_043","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_20_to_24_years","means_of_transportation_to_work_by_age"
"57","B08101_044","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_25_to_44_years","means_of_transportation_to_work_by_age"
"58","B08101_045","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_45_to_54_years","means_of_transportation_to_work_by_age"
"59","B08101_046","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_55_to_59_years","means_of_transportation_to_work_by_age"
"60","B08101_047","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_60_to_64_years","means_of_transportation_to_work_by_age"
"61","B08101_048","estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_65_years_and_over","means_of_transportation_to_work_by_age"
"62","B08101_049","estimate_total_worked_from_home","means_of_transportation_to_work_by_age"
"63","B08101_050","estimate_total_worked_from_home_16_to_19_years","means_of_transportation_to_work_by_age"
"64","B08101_051","estimate_total_worked_from_home_20_to_24_years","means_of_transportation_to_work_by_age"
"65","B08101_052","estimate_total_worked_from_home_25_to_44_years","means_of_transportation_to_work_by_age"
"66","B08101_053","estimate_total_worked_from_home_45_to_54_years","means_of_transportation_to_work_by_age"
"67","B08101_054","estimate_total_worked_from_home_55_to_59_years","means_of_transportation_to_work_by_age"
"68","B08101_055","estimate_total_worked_from_home_60_to_64_years","means_of_transportation_to_work_by_age"
"69","B08101_056","estimate_total_worked_from_home_65_years_and_over","means_of_transportation_to_work_by_age"
"70","B28001_001","estimate_total","types_of_computers_in_household"
"71","B28001_002","estimate_total_has_one_or_more_types_of_computing_devices","types_of_computers_in_household"
"72","B28001_003","estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","types_of_computers_in_household"
"73","B28001_004","estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","types_of_computers_in_household"
"74","B28001_005","estimate_total_has_one_or_more_types_of_computing_devices_smartphone","types_of_computers_in_household"
"75","B28001_006","estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","types_of_computers_in_household"
"76","B28001_007","estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","types_of_computers_in_household"
"77","B28001_008","estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","types_of_computers_in_household"
"78","B28001_009","estimate_total_has_one_or_more_types_of_computing_devices_other_computer","types_of_computers_in_household"
"79","B28001_010","estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","types_of_computers_in_household"
"80","B28001_011","estimate_total_no_computer","types_of_computers_in_household"
"81","B28003_001","estimate_total","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"82","B28003_002","estimate_total_has_a_computer","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"83","B28003_003","estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"84","B28003_004","estimate_total_has_a_computer_with_a_broadband_internet_subscription","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"85","B28003_005","estimate_total_has_a_computer_without_an_internet_subscription","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"86","B28003_006","estimate_total_no_computer","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"87","B28011_001","estimate_total","internet_subscriptions_in_household"
"88","B28011_002","estimate_total_with_an_internet_subscription","internet_subscriptions_in_household"
"89","B28011_003","estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"90","B28011_004","estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"91","B28011_005","estimate_total_with_an_internet_subscription_satellite_internet_service","internet_subscriptions_in_household"
"92","B28011_006","estimate_total_with_an_internet_subscription_other_service","internet_subscriptions_in_household"
"93","B28011_007","estimate_total_internet_access_without_a_subscription","internet_subscriptions_in_household"
"94","B28011_008","estimate_total_no_internet_access","internet_subscriptions_in_household"
"95","S0101_C01_001","estimate_total_total_population","age_and_sex"
"96","S0101_C01_002","estimate_total_total_population_age_under_5_years","age_and_sex"
"97","S0101_C01_003","estimate_total_total_population_age_5_to_9_years","age_and_sex"
"98","S0101_C01_004","estimate_total_total_population_age_10_to_14_years","age_and_sex"
"99","S0101_C01_005","estimate_total_total_population_age_15_to_19_years","age_and_sex"
"100","S0101_C01_006","estimate_total_total_population_age_20_to_24_years","age_and_sex"
"101","S0101_C01_007","estimate_total_total_population_age_25_to_29_years","age_and_sex"
"102","S0101_C01_008","estimate_total_total_population_age_30_to_34_years","age_and_sex"
"103","S0101_C01_009","estimate_total_total_population_age_35_to_39_years","age_and_sex"
"104","S0101_C01_010","estimate_total_total_population_age_40_to_44_years","age_and_sex"
"105","S0101_C01_011","estimate_total_total_population_age_45_to_49_years","age_and_sex"
"106","S0101_C01_012","estimate_total_total_population_age_50_to_54_years","age_and_sex"
"107","S0101_C01_013","estimate_total_total_population_age_55_to_59_years","age_and_sex"
"108","S0101_C01_014","estimate_total_total_population_age_60_to_64_years","age_and_sex"
"109","S0101_C01_015","estimate_total_total_population_age_65_to_69_years","age_and_sex"
"110","S0101_C01_016","estimate_total_total_population_age_70_to_74_years","age_and_sex"
"111","S0101_C01_017","estimate_total_total_population_age_75_to_79_years","age_and_sex"
"112","S0101_C01_018","estimate_total_total_population_age_80_to_84_years","age_and_sex"
"113","S0101_C01_019","estimate_total_total_population_age_85_years_and_over","age_and_sex"
"114","S0101_C01_020","estimate_total_total_population_selected_age_categories_5_to_14_years","age_and_sex"
"115","S0101_C01_021","estimate_total_total_population_selected_age_categories_15_to_17_years","age_and_sex"
"116","S0101_C01_022","estimate_total_total_population_selected_age_categories_under_18_years","age_and_sex"
"117","S0101_C01_023","estimate_total_total_population_selected_age_categories_18_to_24_years","age_and_sex"
"118","S0101_C01_024","estimate_total_total_population_selected_age_categories_15_to_44_years","age_and_sex"
"119","S0101_C01_025","estimate_total_total_population_selected_age_categories_16_years_and_over","age_and_sex"
"120","S0101_C01_026","estimate_total_total_population_selected_age_categories_18_years_and_over","age_and_sex"
"121","S0101_C01_027","estimate_total_total_population_selected_age_categories_21_years_and_over","age_and_sex"
"122","S0101_C01_028","estimate_total_total_population_selected_age_categories_60_years_and_over","age_and_sex"
"123","S0101_C01_029","estimate_total_total_population_selected_age_categories_62_years_and_over","age_and_sex"
"124","S0101_C01_030","estimate_total_total_population_selected_age_categories_65_years_and_over","age_and_sex"
"125","S0101_C01_031","estimate_total_total_population_selected_age_categories_75_years_and_over","age_and_sex"
"126","S0101_C01_032","estimate_total_total_population_summary_indicators_median_age_(years)","age_and_sex"
"127","S0101_C01_033","estimate_total_total_population_summary_indicators_sex_ratio_(males_per_100_females)","age_and_sex"
"128","S0101_C01_034","estimate_total_total_population_summary_indicators_age_dependency_ratio","age_and_sex"
"129","S0101_C01_035","estimate_total_total_population_summary_indicators_old-age_dependency_ratio","age_and_sex"
"130","S0101_C01_036","estimate_total_total_population_summary_indicators_child_dependency_ratio","age_and_sex"
"131","S0101_C01_037","estimate_total_total_population_percent_allocated_sex","age_and_sex"
"132","S0101_C01_038","estimate_total_total_population_percent_allocated_age","age_and_sex"
"133","S0101_C02_001","estimate_percent_total_population","age_and_sex"
"134","S0101_C02_002","estimate_percent_total_population_age_under_5_years","age_and_sex"
"135","S0101_C02_003","estimate_percent_total_population_age_5_to_9_years","age_and_sex"
"136","S0101_C02_004","estimate_percent_total_population_age_10_to_14_years","age_and_sex"
"137","S0101_C02_005","estimate_percent_total_population_age_15_to_19_years","age_and_sex"
"138","S0101_C02_006","estimate_percent_total_population_age_20_to_24_years","age_and_sex"
"139","S0101_C02_007","estimate_percent_total_population_age_25_to_29_years","age_and_sex"
"140","S0101_C02_008","estimate_percent_total_population_age_30_to_34_years","age_and_sex"
"141","S0101_C02_009","estimate_percent_total_population_age_35_to_39_years","age_and_sex"
"142","S0101_C02_010","estimate_percent_total_population_age_40_to_44_years","age_and_sex"
"143","S0101_C02_011","estimate_percent_total_population_age_45_to_49_years","age_and_sex"
"144","S0101_C02_012","estimate_percent_total_population_age_50_to_54_years","age_and_sex"
"145","S0101_C02_013","estimate_percent_total_population_age_55_to_59_years","age_and_sex"
"146","S0101_C02_014","estimate_percent_total_population_age_60_to_64_years","age_and_sex"
"147","S0101_C02_015","estimate_percent_total_population_age_65_to_69_years","age_and_sex"
"148","S0101_C02_016","estimate_percent_total_population_age_70_to_74_years","age_and_sex"
"149","S0101_C02_017","estimate_percent_total_population_age_75_to_79_years","age_and_sex"
"150","S0101_C02_018","estimate_percent_total_population_age_80_to_84_years","age_and_sex"
"151","S0101_C02_019","estimate_percent_total_population_age_85_years_and_over","age_and_sex"
"152","S0101_C02_020","estimate_percent_total_population_selected_age_categories_5_to_14_years","age_and_sex"
"153","S0101_C02_021","estimate_percent_total_population_selected_age_categories_15_to_17_years","age_and_sex"
"154","S0101_C02_022","estimate_percent_total_population_selected_age_categories_under_18_years","age_and_sex"
"155","S0101_C02_023","estimate_percent_total_population_selected_age_categories_18_to_24_years","age_and_sex"
"156","S0101_C02_024","estimate_percent_total_population_selected_age_categories_15_to_44_years","age_and_sex"
"157","S0101_C02_025","estimate_percent_total_population_selected_age_categories_16_years_and_over","age_and_sex"
"158","S0101_C02_026","estimate_percent_total_population_selected_age_categories_18_years_and_over","age_and_sex"
"159","S0101_C02_027","estimate_percent_total_population_selected_age_categories_21_years_and_over","age_and_sex"
"160","S0101_C02_028","estimate_percent_total_population_selected_age_categories_60_years_and_over","age_and_sex"
"161","S0101_C02_029","estimate_percent_total_population_selected_age_categories_62_years_and_over","age_and_sex"
"162","S0101_C02_030","estimate_percent_total_population_selected_age_categories_65_years_and_over","age_and_sex"
"163","S0101_C02_031","estimate_percent_total_population_selected_age_categories_75_years_and_over","age_and_sex"
"164","S0101_C02_032","estimate_percent_total_population_summary_indicators_median_age_(years)","age_and_sex"
"165","S0101_C02_033","estimate_percent_total_population_summary_indicators_sex_ratio_(males_per_100_females)","age_and_sex"
"166","S0101_C02_034","estimate_percent_total_population_summary_indicators_age_dependency_ratio","age_and_sex"
"167","S0101_C02_035","estimate_percent_total_population_summary_indicators_old-age_dependency_ratio","age_and_sex"
"168","S0101_C02_036","estimate_percent_total_population_summary_indicators_child_dependency_ratio","age_and_sex"
"169","S0101_C02_037","estimate_percent_total_population_percent_allocated_sex","age_and_sex"
"170","S0101_C02_038","estimate_percent_total_population_percent_allocated_age","age_and_sex"
"171","S0101_C03_001","estimate_male_total_population","age_and_sex"
"172","S0101_C03_002","estimate_male_total_population_age_under_5_years","age_and_sex"
"173","S0101_C03_003","estimate_male_total_population_age_5_to_9_years","age_and_sex"
"174","S0101_C03_004","estimate_male_total_population_age_10_to_14_years","age_and_sex"
"175","S0101_C03_005","estimate_male_total_population_age_15_to_19_years","age_and_sex"
"176","S0101_C03_006","estimate_male_total_population_age_20_to_24_years","age_and_sex"
"177","S0101_C03_007","estimate_male_total_population_age_25_to_29_years","age_and_sex"
"178","S0101_C03_008","estimate_male_total_population_age_30_to_34_years","age_and_sex"
"179","S0101_C03_009","estimate_male_total_population_age_35_to_39_years","age_and_sex"
"180","S0101_C03_010","estimate_male_total_population_age_40_to_44_years","age_and_sex"
"181","S0101_C03_011","estimate_male_total_population_age_45_to_49_years","age_and_sex"
"182","S0101_C03_012","estimate_male_total_population_age_50_to_54_years","age_and_sex"
"183","S0101_C03_013","estimate_male_total_population_age_55_to_59_years","age_and_sex"
"184","S0101_C03_014","estimate_male_total_population_age_60_to_64_years","age_and_sex"
"185","S0101_C03_015","estimate_male_total_population_age_65_to_69_years","age_and_sex"
"186","S0101_C03_016","estimate_male_total_population_age_70_to_74_years","age_and_sex"
"187","S0101_C03_017","estimate_male_total_population_age_75_to_79_years","age_and_sex"
"188","S0101_C03_018","estimate_male_total_population_age_80_to_84_years","age_and_sex"
"189","S0101_C03_019","estimate_male_total_population_age_85_years_and_over","age_and_sex"
"190","S0101_C03_020","estimate_male_total_population_selected_age_categories_5_to_14_years","age_and_sex"
"191","S0101_C03_021","estimate_male_total_population_selected_age_categories_15_to_17_years","age_and_sex"
"192","S0101_C03_022","estimate_male_total_population_selected_age_categories_under_18_years","age_and_sex"
"193","S0101_C03_023","estimate_male_total_population_selected_age_categories_18_to_24_years","age_and_sex"
"194","S0101_C03_024","estimate_male_total_population_selected_age_categories_15_to_44_years","age_and_sex"
"195","S0101_C03_025","estimate_male_total_population_selected_age_categories_16_years_and_over","age_and_sex"
"196","S0101_C03_026","estimate_male_total_population_selected_age_categories_18_years_and_over","age_and_sex"
"197","S0101_C03_027","estimate_male_total_population_selected_age_categories_21_years_and_over","age_and_sex"
"198","S0101_C03_028","estimate_male_total_population_selected_age_categories_60_years_and_over","age_and_sex"
"199","S0101_C03_029","estimate_male_total_population_selected_age_categories_62_years_and_over","age_and_sex"
"200","S0101_C03_030","estimate_male_total_population_selected_age_categories_65_years_and_over","age_and_sex"
"201","S0101_C03_031","estimate_male_total_population_selected_age_categories_75_years_and_over","age_and_sex"
"202","S0101_C03_032","estimate_male_total_population_summary_indicators_median_age_(years)","age_and_sex"
"203","S0101_C03_033","estimate_male_total_population_summary_indicators_sex_ratio_(males_per_100_females)","age_and_sex"
"204","S0101_C03_034","estimate_male_total_population_summary_indicators_age_dependency_ratio","age_and_sex"
"205","S0101_C03_035","estimate_male_total_population_summary_indicators_old-age_dependency_ratio","age_and_sex"
"206","S0101_C03_036","estimate_male_total_population_summary_indicators_child_dependency_ratio","age_and_sex"
"207","S0101_C03_037","estimate_male_total_population_percent_allocated_sex","age_and_sex"
"208","S0101_C03_038","estimate_male_total_population_percent_allocated_age","age_and_sex"
"209","S0101_C04_001","estimate_percent_male_total_population","age_and_sex"
"210","S0101_C04_002","estimate_percent_male_total_population_age_under_5_years","age_and_sex"
"211","S0101_C04_003","estimate_percent_male_total_population_age_5_to_9_years","age_and_sex"
"212","S0101_C04_004","estimate_percent_male_total_population_age_10_to_14_years","age_and_sex"
"213","S0101_C04_005","estimate_percent_male_total_population_age_15_to_19_years","age_and_sex"
"214","S0101_C04_006","estimate_percent_male_total_population_age_20_to_24_years","age_and_sex"
"215","S0101_C04_007","estimate_percent_male_total_population_age_25_to_29_years","age_and_sex"
"216","S0101_C04_008","estimate_percent_male_total_population_age_30_to_34_years","age_and_sex"
"217","S0101_C04_009","estimate_percent_male_total_population_age_35_to_39_years","age_and_sex"
"218","S0101_C04_010","estimate_percent_male_total_population_age_40_to_44_years","age_and_sex"
"219","S0101_C04_011","estimate_percent_male_total_population_age_45_to_49_years","age_and_sex"
"220","S0101_C04_012","estimate_percent_male_total_population_age_50_to_54_years","age_and_sex"
"221","S0101_C04_013","estimate_percent_male_total_population_age_55_to_59_years","age_and_sex"
"222","S0101_C04_014","estimate_percent_male_total_population_age_60_to_64_years","age_and_sex"
"223","S0101_C04_015","estimate_percent_male_total_population_age_65_to_69_years","age_and_sex"
"224","S0101_C04_016","estimate_percent_male_total_population_age_70_to_74_years","age_and_sex"
"225","S0101_C04_017","estimate_percent_male_total_population_age_75_to_79_years","age_and_sex"
"226","S0101_C04_018","estimate_percent_male_total_population_age_80_to_84_years","age_and_sex"
"227","S0101_C04_019","estimate_percent_male_total_population_age_85_years_and_over","age_and_sex"
"228","S0101_C04_020","estimate_percent_male_total_population_selected_age_categories_5_to_14_years","age_and_sex"
"229","S0101_C04_021","estimate_percent_male_total_population_selected_age_categories_15_to_17_years","age_and_sex"
"230","S0101_C04_022","estimate_percent_male_total_population_selected_age_categories_under_18_years","age_and_sex"
"231","S0101_C04_023","estimate_percent_male_total_population_selected_age_categories_18_to_24_years","age_and_sex"
"232","S0101_C04_024","estimate_percent_male_total_population_selected_age_categories_15_to_44_years","age_and_sex"
"233","S0101_C04_025","estimate_percent_male_total_population_selected_age_categories_16_years_and_over","age_and_sex"
"234","S0101_C04_026","estimate_percent_male_total_population_selected_age_categories_18_years_and_over","age_and_sex"
"235","S0101_C04_027","estimate_percent_male_total_population_selected_age_categories_21_years_and_over","age_and_sex"
"236","S0101_C04_028","estimate_percent_male_total_population_selected_age_categories_60_years_and_over","age_and_sex"
"237","S0101_C04_029","estimate_percent_male_total_population_selected_age_categories_62_years_and_over","age_and_sex"
"238","S0101_C04_030","estimate_percent_male_total_population_selected_age_categories_65_years_and_over","age_and_sex"
"239","S0101_C04_031","estimate_percent_male_total_population_selected_age_categories_75_years_and_over","age_and_sex"
"240","S0101_C04_032","estimate_percent_male_total_population_summary_indicators_median_age_(years)","age_and_sex"
"241","S0101_C04_033","estimate_percent_male_total_population_summary_indicators_sex_ratio_(males_per_100_females)","age_and_sex"
"242","S0101_C04_034","estimate_percent_male_total_population_summary_indicators_age_dependency_ratio","age_and_sex"
"243","S0101_C04_035","estimate_percent_male_total_population_summary_indicators_old-age_dependency_ratio","age_and_sex"
"244","S0101_C04_036","estimate_percent_male_total_population_summary_indicators_child_dependency_ratio","age_and_sex"
"245","S0101_C04_037","estimate_percent_male_total_population_percent_allocated_sex","age_and_sex"
"246","S0101_C04_038","estimate_percent_male_total_population_percent_allocated_age","age_and_sex"
"247","S0101_C05_001","estimate_female_total_population","age_and_sex"
"248","S0101_C05_002","estimate_female_total_population_age_under_5_years","age_and_sex"
"249","S0101_C05_003","estimate_female_total_population_age_5_to_9_years","age_and_sex"
"250","S0101_C05_004","estimate_female_total_population_age_10_to_14_years","age_and_sex"
"251","S0101_C05_005","estimate_female_total_population_age_15_to_19_years","age_and_sex"
"252","S0101_C05_006","estimate_female_total_population_age_20_to_24_years","age_and_sex"
"253","S0101_C05_007","estimate_female_total_population_age_25_to_29_years","age_and_sex"
"254","S0101_C05_008","estimate_female_total_population_age_30_to_34_years","age_and_sex"
"255","S0101_C05_009","estimate_female_total_population_age_35_to_39_years","age_and_sex"
"256","S0101_C05_010","estimate_female_total_population_age_40_to_44_years","age_and_sex"
"257","S0101_C05_011","estimate_female_total_population_age_45_to_49_years","age_and_sex"
"258","S0101_C05_012","estimate_female_total_population_age_50_to_54_years","age_and_sex"
"259","S0101_C05_013","estimate_female_total_population_age_55_to_59_years","age_and_sex"
"260","S0101_C05_014","estimate_female_total_population_age_60_to_64_years","age_and_sex"
"261","S0101_C05_015","estimate_female_total_population_age_65_to_69_years","age_and_sex"
"262","S0101_C05_016","estimate_female_total_population_age_70_to_74_years","age_and_sex"
"263","S0101_C05_017","estimate_female_total_population_age_75_to_79_years","age_and_sex"
"264","S0101_C05_018","estimate_female_total_population_age_80_to_84_years","age_and_sex"
"265","S0101_C05_019","estimate_female_total_population_age_85_years_and_over","age_and_sex"
"266","S0101_C05_020","estimate_female_total_population_selected_age_categories_5_to_14_years","age_and_sex"
"267","S0101_C05_021","estimate_female_total_population_selected_age_categories_15_to_17_years","age_and_sex"
"268","S0101_C05_022","estimate_female_total_population_selected_age_categories_under_18_years","age_and_sex"
"269","S0101_C05_023","estimate_female_total_population_selected_age_categories_18_to_24_years","age_and_sex"
"270","S0101_C05_024","estimate_female_total_population_selected_age_categories_15_to_44_years","age_and_sex"
"271","S0101_C05_025","estimate_female_total_population_selected_age_categories_16_years_and_over","age_and_sex"
"272","S0101_C05_026","estimate_female_total_population_selected_age_categories_18_years_and_over","age_and_sex"
"273","S0101_C05_027","estimate_female_total_population_selected_age_categories_21_years_and_over","age_and_sex"
"274","S0101_C05_028","estimate_female_total_population_selected_age_categories_60_years_and_over","age_and_sex"
"275","S0101_C05_029","estimate_female_total_population_selected_age_categories_62_years_and_over","age_and_sex"
"276","S0101_C05_030","estimate_female_total_population_selected_age_categories_65_years_and_over","age_and_sex"
"277","S0101_C05_031","estimate_female_total_population_selected_age_categories_75_years_and_over","age_and_sex"
"278","S0101_C05_032","estimate_female_total_population_summary_indicators_median_age_(years)","age_and_sex"
"279","S0101_C05_033","estimate_female_total_population_summary_indicators_sex_ratio_(males_per_100_females)","age_and_sex"
"280","S0101_C05_034","estimate_female_total_population_summary_indicators_age_dependency_ratio","age_and_sex"
"281","S0101_C05_035","estimate_female_total_population_summary_indicators_old-age_dependency_ratio","age_and_sex"
"282","S0101_C05_036","estimate_female_total_population_summary_indicators_child_dependency_ratio","age_and_sex"
"283","S0101_C05_037","estimate_female_total_population_percent_allocated_sex","age_and_sex"
"284","S0101_C05_038","estimate_female_total_population_percent_allocated_age","age_and_sex"
"285","S0101_C06_001","estimate_percent_female_total_population","age_and_sex"
"286","S0101_C06_002","estimate_percent_female_total_population_age_under_5_years","age_and_sex"
"287","S0101_C06_003","estimate_percent_female_total_population_age_5_to_9_years","age_and_sex"
"288","S0101_C06_004","estimate_percent_female_total_population_age_10_to_14_years","age_and_sex"
"289","S0101_C06_005","estimate_percent_female_total_population_age_15_to_19_years","age_and_sex"
"290","S0101_C06_006","estimate_percent_female_total_population_age_20_to_24_years","age_and_sex"
"291","S0101_C06_007","estimate_percent_female_total_population_age_25_to_29_years","age_and_sex"
"292","S0101_C06_008","estimate_percent_female_total_population_age_30_to_34_years","age_and_sex"
"293","S0101_C06_009","estimate_percent_female_total_population_age_35_to_39_years","age_and_sex"
"294","S0101_C06_010","estimate_percent_female_total_population_age_40_to_44_years","age_and_sex"
"295","S0101_C06_011","estimate_percent_female_total_population_age_45_to_49_years","age_and_sex"
"296","S0101_C06_012","estimate_percent_female_total_population_age_50_to_54_years","age_and_sex"
"297","S0101_C06_013","estimate_percent_female_total_population_age_55_to_59_years","age_and_sex"
"298","S0101_C06_014","estimate_percent_female_total_population_age_60_to_64_years","age_and_sex"
"299","S0101_C06_015","estimate_percent_female_total_population_age_65_to_69_years","age_and_sex"
"300","S0101_C06_016","estimate_percent_female_total_population_age_70_to_74_years","age_and_sex"
"301","S0101_C06_017","estimate_percent_female_total_population_age_75_to_79_years","age_and_sex"
"302","S0101_C06_018","estimate_percent_female_total_population_age_80_to_84_years","age_and_sex"
"303","S0101_C06_019","estimate_percent_female_total_population_age_85_years_and_over","age_and_sex"
"304","S0101_C06_020","estimate_percent_female_total_population_selected_age_categories_5_to_14_years","age_and_sex"
"305","S0101_C06_021","estimate_percent_female_total_population_selected_age_categories_15_to_17_years","age_and_sex"
"306","S0101_C06_022","estimate_percent_female_total_population_selected_age_categories_under_18_years","age_and_sex"
