"estimate","moe","variable","dataset"
NA,NA,"estimate_families_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
76123,1576,"estimate_married-couple_families_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
1.2,0.3,"estimate_married-couple_families_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
1,0.3,"estimate_married-couple_families_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
2.9,0.4,"estimate_married-couple_families_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
4.8,0.5,"estimate_married-couple_families_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
10.6,0.9,"estimate_married-couple_families_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
19.4,1,"estimate_married-couple_families_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
18.8,1.2,"estimate_married-couple_families_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
23.5,1.2,"estimate_married-couple_families_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
9.6,0.8,"estimate_married-couple_families_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
8.4,0.8,"estimate_married-couple_families_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
87415,1488,"estimate_married-couple_families_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
108025,2250,"estimate_married-couple_families_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_married-couple_families_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_married-couple_families_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_married-couple_families_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
67727,1389,"estimate_nonfamily_households_total","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
11.2,1,"estimate_nonfamily_households_total_less_than_$10,000","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
8.3,0.9,"estimate_nonfamily_households_total_$10,000_to_$14,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
15.7,1.2,"estimate_nonfamily_households_total_$15,000_to_$24,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
14.8,1.2,"estimate_nonfamily_households_total_$25,000_to_$34,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
17.1,1.1,"estimate_nonfamily_households_total_$35,000_to_$49,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
17,1.1,"estimate_nonfamily_households_total_$50,000_to_$74,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
7.6,1.1,"estimate_nonfamily_households_total_$75,000_to_$99,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
5.4,0.6,"estimate_nonfamily_households_total_$100,000_to_$149,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
1.4,0.3,"estimate_nonfamily_households_total_$150,000_to_$199,999","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
1.5,0.3,"estimate_nonfamily_households_total_$200,000_or_more","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
34977,1290,"estimate_nonfamily_households_median_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
47863,1796,"estimate_nonfamily_households_mean_income_(dollars)","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_nonfamily_households_percent_allocated_household_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
NA,NA,"estimate_nonfamily_households_percent_allocated_family_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
31.8,NA,"estimate_nonfamily_households_percent_allocated_nonfamily_income_in_the_past_12_months","income_in_the_past_12_months_(in_2020_inflation-adjusted_dollars)"
