"","estimate","moe","variable","dataset"
"43",241,83,"estimate_total_public_transportation_(excluding_taxicab)_55_to_59_years","means_of_transportation_to_work_by_age"
"44",377,167,"estimate_total_public_transportation_(excluding_taxicab)_60_to_64_years","means_of_transportation_to_work_by_age"
"45",260,119,"estimate_total_public_transportation_(excluding_taxicab)_65_years_and_over","means_of_transportation_to_work_by_age"
"46",5007,700,"estimate_total_walked","means_of_transportation_to_work_by_age"
"47",857,169,"estimate_total_walked_16_to_19_years","means_of_transportation_to_work_by_age"
"48",1059,246,"estimate_total_walked_20_to_24_years","means_of_transportation_to_work_by_age"
"49",1966,457,"estimate_total_walked_25_to_44_years","means_of_transportation_to_work_by_age"
"50",412,147,"estimate_total_walked_45_to_54_years","means_of_transportation_to_work_by_age"
"51",268,96,"estimate_total_walked_55_to_59_years","means_of_transportation_to_work_by_age"
"52",239,154,"estimate_total_walked_60_to_64_years","means_of_transportation_to_work_by_age"
"53",206,102,"estimate_total_walked_65_years_and_over","means_of_transportation_to_work_by_age"
"54",2850,523,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means","means_of_transportation_to_work_by_age"
"55",88,59,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_16_to_19_years","means_of_transportation_to_work_by_age"
"56",357,252,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_20_to_24_years","means_of_transportation_to_work_by_age"
"57",1320,286,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_25_to_44_years","means_of_transportation_to_work_by_age"
"58",421,164,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_45_to_54_years","means_of_transportation_to_work_by_age"
"59",246,168,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_55_to_59_years","means_of_transportation_to_work_by_age"
"60",268,143,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_60_to_64_years","means_of_transportation_to_work_by_age"
"61",150,72,"estimate_total_taxicab,_motorcycle,_bicycle,_or_other_means_65_years_and_over","means_of_transportation_to_work_by_age"
"62",14711,1088,"estimate_total_worked_from_home","means_of_transportation_to_work_by_age"
"63",140,65,"estimate_total_worked_from_home_16_to_19_years","means_of_transportation_to_work_by_age"
"64",881,240,"estimate_total_worked_from_home_20_to_24_years","means_of_transportation_to_work_by_age"
"65",6622,855,"estimate_total_worked_from_home_25_to_44_years","means_of_transportation_to_work_by_age"
"66",3307,440,"estimate_total_worked_from_home_45_to_54_years","means_of_transportation_to_work_by_age"
"67",1227,271,"estimate_total_worked_from_home_55_to_59_years","means_of_transportation_to_work_by_age"
"68",1226,297,"estimate_total_worked_from_home_60_to_64_years","means_of_transportation_to_work_by_age"
"69",1308,263,"estimate_total_worked_from_home_65_years_and_over","means_of_transportation_to_work_by_age"
"70",171599,1280,"estimate_total","types_of_computers_in_household"
"71",160060,1360,"estimate_total_has_one_or_more_types_of_computing_devices","types_of_computers_in_household"
"72",138410,1586,"estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop","types_of_computers_in_household"
"73",9045,672,"estimate_total_has_one_or_more_types_of_computing_devices_desktop_or_laptop_desktop_or_laptop_with_no_other_type_of_computing_device","types_of_computers_in_household"
"74",145238,1395,"estimate_total_has_one_or_more_types_of_computing_devices_smartphone","types_of_computers_in_household"
"75",12034,954,"estimate_total_has_one_or_more_types_of_computing_devices_smartphone_smartphone_with_no_other_type_of_computing_device","types_of_computers_in_household"
"76",107087,2123,"estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer","types_of_computers_in_household"
"77",1749,303,"estimate_total_has_one_or_more_types_of_computing_devices_tablet_or_other_portable_wireless_computer_tablet_or_other_portable_wireless_computer_with_no_other_type_of_computing_device","types_of_computers_in_household"
"78",3206,435,"estimate_total_has_one_or_more_types_of_computing_devices_other_computer","types_of_computers_in_household"
"79",49,39,"estimate_total_has_one_or_more_types_of_computing_devices_other_computer_other_computer_with_no_other_type_of_computing_device","types_of_computers_in_household"
"80",11539,799,"estimate_total_no_computer","types_of_computers_in_household"
"81",171599,1280,"estimate_total","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"82",160060,1360,"estimate_total_has_a_computer","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"83",557,177,"estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"84",150737,1512,"estimate_total_has_a_computer_with_a_broadband_internet_subscription","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"85",8766,819,"estimate_total_has_a_computer_without_an_internet_subscription","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"86",11539,799,"estimate_total_no_computer","presence_of_a_computer_and_type_of_internet_subscription_in_household"
"87",171599,1280,"estimate_total","internet_subscriptions_in_household"
"88",152144,1507,"estimate_total_with_an_internet_subscription","internet_subscriptions_in_household"
"89",571,178,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"90",131100,1759,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"91",7131,502,"estimate_total_with_an_internet_subscription_satellite_internet_service","internet_subscriptions_in_household"
"92",2166,379,"estimate_total_with_an_internet_subscription_other_service","internet_subscriptions_in_household"
"93",4372,608,"estimate_total_internet_access_without_a_subscription","internet_subscriptions_in_household"
"94",15083,1098,"estimate_total_no_internet_access","internet_subscriptions_in_household"
"95",NA,NA,"estimate_total","citizen,_voting-age_population_by_educational_attainment"
"96",NA,NA,"estimate_total_less_than_9th_grade","citizen,_voting-age_population_by_educational_attainment"
"97",NA,NA,"estimate_total_9th_to_12th_grade,_no_diploma","citizen,_voting-age_population_by_educational_attainment"
"98",NA,NA,"estimate_total_high_school_graduate_(includes_equivalency)","citizen,_voting-age_population_by_educational_attainment"
"99",NA,NA,"estimate_total_some_college,_no_degree","citizen,_voting-age_population_by_educational_attainment"
"100",NA,NA,"estimate_total_associate's_degree","citizen,_voting-age_population_by_educational_attainment"
"101",NA,NA,"estimate_total_bachelor's_degree","citizen,_voting-age_population_by_educational_attainment"
"102",NA,NA,"estimate_total_graduate_or_professional_degree","citizen,_voting-age_population_by_educational_attainment"
