Label,Total,"Less_than_$10,000",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$10,000_to_$19,999",With_dial-up_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$20,000_to_$34,999",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$35,000_to_$49,999",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$50,000_to_$74,999",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,"$75,000_or_more",With_dialup_Internet_subscription_alone,With_a_broadband_Internet_subscription,Without_an_Internet_subscription,tract,county,standarized_total,"standardized_Less_than_$10,000",Standarized_With_dialup_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standardized_Without_an_Internet_subscription,"standarized_$10,000_to_$19,999",standarized_With_dial-up_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standarized_Without_an_Internet_subscription,"standarized_$20,000_to_$34,999",standarized_With_dialup_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standarized_Without_an_Internet_subscription,"standarized_$35,000_to_$49,999",standarized_With_dialup_Internet_subscription_alone,standarized_With_a_broadband_Internet_subscription,standarized_Without_an_Internet_subscription,"standarized_$50,000_to_$74,999",standardized_With_dialup_Internet_subscription_alone,standardized_With_a_broadband_Internet_subscription,standardized_Without_an_Internet_subscription,"standardized_$75,000_or_more",standarized_With_dialup_Internet_subscription_alone,standardized_With_a_broadband_Internet_subscription,standardized_Without_an_Internet_subscription,index
Estimate,994,110,0,72,38,156,0,78,78,163,0,144,19,221,73,128,20,146,0,138,8,198,0,172,26,9604,Asotin,-0.865531773820843,-2.40629948052608,-0.237078754538727,0.026624050592574,0.279133925939253,0.306310790777379,-0.18447531184215,-0.132225572547026,1.08649239149793,-0.394246505155943,-0.301727901411127,-0.197054218388227,-0.563695736442451,0.091590260244087,10.7645311398212,-0.462670575848038,-0.261710326641032,-0.978024886492877,-0.236178551825273,-0.901633576483283,-0.602235516460194,-1.07173521587764,-0.300342770402833,-1.07576024928875,-0.02224917458256,1.35980646029739
Estimate,"1,526",74,0,31,43,147,0,89,58,269,0,151,118,414,6,337,71,186,0,161,25,436,0,423,13,9605,Asotin,0.061717570033442,-2.46904567672675,-0.237078754538727,-0.457056946008107,0.4186246644616,0.213692125014511,-0.18447531184215,0.008159489445149,0.562640177971068,0.393921453930421,-0.301727901411127,-0.135002484426742,1.3019373759302,1.65887533851972,0.66243268552746,1.37222796360239,1.53824728466387,-0.673600760578523,-0.236178551825273,-0.714301375702449,0.010437698617525,-0.378107725501767,-0.300342770402833,-0.33795702215871,-0.387289080319864,1.39074946627432
Estimate,"1,606",14,0,14,0,160,0,88,72,255,0,190,65,340,0,340,0,270,0,261,9,567,14,485,68,9606,Asotin,0.201153561590477,-2.57362267039453,-0.237078754538727,-0.657607603135218,-0.780995686830582,0.347474642227542,-0.18447531184215,-0.004602788917776,0.929336727439874,0.28982379895675,-0.301727901411127,0.210714319072956,0.303164093548881,1.05794738104616,-0.242232847692877,1.39856622014952,-0.967576056564521,-0.03431009615838,-0.236178551825273,0.100186453779439,-0.566195915573269,0.003678834326969,4.02256834067615,-0.155710806692326,1.15711052087642,3.07940990211439
Estimate,650,54,0,20,34,102,0,42,60,134,5,76,53,102,0,74,28,97,0,68,29,161,0,116,45,9400,Ferry,-1.4651065375161,-2.50390467461601,-0.237078754538727,-0.586825018266826,0.167541335121376,-0.24940120379983,-0.18447531184215,-0.591667593612327,0.615025399323755,-0.609877361887118,1.41306110350304,-0.799842491156932,0.077026746594621,-0.874766860557988,-0.242232847692877,-0.936759193696473,0.020635965328364,-1.35094444073796,-0.236178551825273,-1.47177505712061,0.154596102165223,-1.17956806102011,-0.300342770402833,-1.24036973422613,0.511270687648885,-12.101959124831
Estimate,"1,264",120,0,82,38,107,0,30,77,376,0,173,203,110,5,66,39,102,4,86,12,449,0,352,97,9701,Ferry,-0.394935302315849,-2.38886998158145,-0.237078754538727,0.144595025373228,0.279133925939253,-0.197946389487125,-0.18447531184215,-0.744814933967427,1.06029978082159,1.18952495980062,-0.301727901411127,0.06001725088078,2.90374358352288,-0.809801675966252,0.511655096657404,-1.00699454448883,0.408862116786284,-1.31289142499867,0.623934383180199,-1.32516724781387,-0.458077112912495,-0.3402205096409,-0.300342770402833,-0.546658333418601,1.9714303105981,-1.39680576122597
Estimate,"1,261",134,0,67,67,201,0,113,88,149,13,121,15,224,0,124,100,177,5,172,0,376,6,339,31,9702,Ferry,-0.400164151999238,-2.36446868305897,-0.237078754538727,-0.032361436797753,1.08818020936886,0.769404119591719,-0.18447531184215,0.314454170155349,1.34841849826137,-0.498344160129614,4.15672351136572,-0.400938487118818,-0.639074852093871,0.115952204465988,-0.242232847692877,-0.497788251244218,2.56175259305293,-0.742096188909253,0.838962616931566,-0.624707714459441,-0.89055232355559,-0.552971798705768,1.55233342005959,-0.584871249564778,0.118150789162558,3.97220592070457
Estimate,986,39,0,39,0,52,0,39,13,163,0,117,46,190,0,145,45,200,0,167,33,342,0,294,48,9703,Garfield,-0.879475372976547,-2.53004892303295,-0.237078754538727,-0.362680166183584,-0.780995686830582,-0.763949346926875,-0.18447531184215,-0.629954428701102,-0.61602730246438,-0.394246505155943,-0.301727901411127,-0.436396620811095,-0.054886705795365,-0.16014983004889,-0.242232847692877,-0.313420455414271,0.620621835763331,-0.5670523165085,-0.236178551825273,-0.665432105933536,0.298754505712921,-0.652061440188035,-0.300342770402833,-0.717146728532315,0.595510665895956,-10.5110730658448
Estimate,769,54,0,44,10,33,0,26,7,133,0,109,24,116,0,102,14,217,0,206,11,216,0,213,3,9601,Lincoln,-1.25769550007501,-2.50390467461601,-0.237078754538727,-0.303694678793257,-0.502014209785888,-0.959477641315152,-0.18447531184215,-0.795864047419127,-0.773182966522439,-0.617312908670952,-0.301727901411127,-0.507312888195649,-0.469471841878176,-0.761077787522449,-0.242232847692877,-0.69093546592321,-0.473470045618078,-0.437672062994899,-0.236178551825273,-0.3477818524356,-0.49411671379942,-1.01927599391644,-0.300342770402833,-0.955242590673881,-0.668089007810098,-16.0396290156787
Estimate,"1,336",43,9,25,9,60,0,54,6,221,0,171,50,259,7,231,21,172,0,161,11,581,5,559,17,9602,Lincoln,-0.269442909914517,-2.5230771234551,3.1583013213333,-0.527839530876499,-0.529912357490358,-0.681621644026548,-0.18447531184215,-0.438520253257227,-0.799375577198783,0.037015208306407,-0.301727901411127,0.042288184034642,0.020492409856056,0.400174887054834,0.813210274397516,0.441609565603607,-0.226417040144857,-0.780149204648547,-0.236178551825273,-0.714301375702449,-0.49411671379942,0.044480451407903,1.24355405498252,0.061808869832068,-0.27496910932377,-2.71918937810777
Estimate,"1,134",56,0,21,35,93,0,41,52,121,0,110,11,131,2,120,9,222,2,174,46,511,8,417,86,9603,Lincoln,-0.621518788596031,-2.50041877482708,-0.237078754538727,-0.575027920788761,0.195439482825845,-0.342019869562698,-0.18447531184215,-0.604429871975252,0.405484513913008,-0.706539470076955,-0.301727901411127,-0.49844835477258,-0.714453967745291,-0.639268066412944,0.059322330047235,-0.532905926640399,-0.649936478098951,-0.399619047255605,0.193877915677463,-0.608417957869804,0.767269317242941,-0.159527633996765,2.16989215021373,-0.355593752687714,1.66255039035885,-5.17757174881977
Estimate,"1,389",122,0,72,50,113,2,59,52,244,2,195,47,179,2,150,27,306,0,273,33,425,4,387,34,9604,Lincoln,-0.177066565507981,-2.38538408179253,-0.237078754538727,0.026624050592574,0.613911698392885,-0.13620061231188,0.087774543537797,-0.374708861442602,0.405484513913008,0.20803278433458,0.384187700554541,0.255036986188302,-0.03604192688251,-0.249476958862528,0.059322330047235,-0.269523361169046,-0.01465732116781,0.239671617164538,-0.236178551825273,0.197924993317265,0.298754505712921,-0.4101661389225,0.934774689905448,-0.443777405332739,0.202390767409628,-1.0563693586854
Estimate,932,57,0,17,40,63,0,18,45,160,0,127,33,149,0,131,18,120,6,92,22,383,0,342,41,9701,Pend Oreille,-0.973594667277546,-2.49867582493262,-0.237078754538727,-0.622216310701022,0.334930221348192,-0.650748755438925,-0.18447531184215,-0.897962274322527,0.222136239178605,-0.416553145507444,-0.301727901411127,-0.347751286580403,-0.29986883166248,-0.493096401081538,-0.242232847692877,-0.436332319300903,-0.33229689963338,-1.17590056833721,1.05399085068293,-1.27629797804495,-0.097681104043249,-0.532570990165301,-0.300342770402833,-0.576052884300276,0.398950716652792,-10.883449799355
Estimate,"1,193",38,8,9,21,114,0,42,72,170,0,115,55,264,0,158,106,210,0,165,45,397,0,370,27,9702,Pend Oreille,-0.518684744822718,-2.53179187292742,2.78103686845863,-0.716593090525545,-0.195134585036725,-0.125909649449339,-0.18447531184215,-0.591667593612327,0.929336727439874,-0.342197677669108,-0.301727901411127,-0.454125687657233,0.114716304420331,0.440778127424669,-0.242232847692877,-0.199288010376685,2.77351231202997,-0.490946285029911,-0.236178551825273,-0.681721862523174,0.731229716356017,-0.491769373084367,-0.300342770402833,-0.493748141831586,0.005830818166464,-1.32209508342444
Estimate,"1,373",121,0,60,61,131,0,67,64,259,7,125,127,200,0,134,66,162,0,130,32,500,0,416,84,9703,Pend Oreille,-0.204953763819388,-2.38712703168699,-0.237078754538727,-0.114941119144211,0.920791323142048,0.049036719213856,-0.18447531184215,-0.272610634539202,0.719795842029128,0.319565986092084,2.09897670546871,-0.365480353426541,1.47154038614589,-0.07894334930922,-0.242232847692877,-0.409994062753767,1.36178085218299,-0.856255236127136,-0.236178551825273,-0.966792602841834,0.262714904825997,-0.191586047417499,-0.300342770402833,-0.358533207775882,1.6063904048608,1.40306747881798
Estimate,"1,195",79,0,62,17,114,0,46,68,171,0,92,79,205,0,197,8,299,0,242,57,327,0,316,11,9704,Pend Oreille,-0.515198845033792,-2.46033092725444,-0.237078754538727,-0.09134692418808,-0.306727175854603,-0.125909649449339,-0.18447531184215,-0.540618480160627,0.824566284734501,-0.334762130885274,-0.301727901411127,-0.658009956387825,0.566990998328851,-0.038340108939385,-0.242232847692877,0.143109324736074,-0.685229764595125,0.186397395129526,-0.236178551825273,-0.05456623382212,1.16370492699911,-0.695777458489035,-0.300342770402833,-0.65247871659263,-0.443449065817911,-6.22001264525511
Estimate,"1,105",39,9,8,22,45,0,45,0,53,0,53,0,185,0,149,36,250,0,207,43,533,14,405,114,9705,Pend Oreille,-0.672064335535457,-2.53004892303295,3.1583013213333,-0.728390188003611,-0.167236437332256,-0.835986086964661,-0.18447531184215,-0.553380758523552,-0.956531241256842,-1.21215665137764,-0.301727901411127,-1.00372675988752,-0.921746535786696,-0.200753070418725,-0.242232847692877,-0.278302780018091,0.30298225729776,-0.186522159115557,-0.236178551825273,-0.339636974140781,0.659150514582168,-0.095410807155298,4.02256834067615,-0.390867213745724,2.4487901873315,-1.44558291384592
Estimate,"1,295",129,0,102,27,200,0,144,56,267,0,247,20,269,0,262,7,176,0,170,6,254,0,254,0,2.01,Spokane,-0.340903855587498,-2.37318343253129,-0.237078754538727,0.380536974934535,-0.02774569880991,0.759113156729178,-0.18447531184215,0.710084799406025,0.510254956618381,0.379050360362753,-0.301727901411127,0.715992724187901,-0.544850957529596,0.481381367794504,-0.242232847692877,0.713771549924005,-0.7205230510913,-0.749706792057112,-0.236178551825273,-0.640997471049079,-0.674314718234043,-0.908528747553904,-0.300342770402833,-0.834724932059014,-0.752328986057168,-5.41965889031562
Estimate,616,62,0,54,8,92,0,54,38,92,0,67,25,162,0,132,30,152,0,152,0,56,0,56,0,2.02,Spokane,-1.52436683392784,-2.48996107546031,-0.237078754538727,-0.185723704012603,-0.557810505194827,-0.352310832425239,-0.18447531184215,-0.438520253257227,0.038787964444202,-0.92217032680813,-0.301727901411127,-0.879623291964555,-0.450627062965321,-0.387527976119967,-0.242232847692877,-0.427552900451857,0.091222538320713,-0.932361267605724,-0.236178551825273,-0.787605280355819,-0.89055232355559,-1.48558018912711,-0.300342770402833,-1.41673703951618,-0.752328986057168,-16.2533854837535
Estimate,"1,095",87,0,62,25,188,0,188,0,256,0,188,68,178,0,151,27,275,0,275,0,111,0,111,0,3.01,Spokane,-0.689493834480086,-2.44638732809873,-0.237078754538727,-0.09134692418808,-0.083541994218848,0.635621602378687,-0.18447531184215,1.27162504737473,-0.956531241256842,0.297259345740583,-0.301727901411127,0.192985252226818,0.359698430287446,-0.257597606936495,-0.242232847692877,-0.260743942320001,-0.01465732116781,0.003742919580914,-0.236178551825273,0.214214749906903,-0.89055232355559,-1.32528812202344,-0.300342770402833,-1.25506700966696,-0.752328986057168,-7.55042542418697
Estimate,"1,035",86,0,73,13,140,0,129,11,215,0,121,94,242,0,226,16,193,0,182,11,159,0,147,12,3.02,Spokane,-0.794070828147863,-2.44813027799319,-0.237078754538727,0.038421148070639,-0.41831976667248,0.141655384976724,-0.18447531184215,0.518650623962149,-0.668412523817066,-0.007598072396595,-0.301727901411127,-0.400938487118818,0.849662682021677,0.262123869797394,-0.242232847692877,0.397712471358382,-0.40288347262573,-0.620326538543511,-0.236178551825273,-0.543258931511253,-0.49411671379942,-1.18539686346024,-0.300342770402833,-1.14924662649294,-0.415369073068887,-8.84187813317401
Estimate,"1,638",162,0,90,72,94,0,69,25,462,0,413,49,181,0,149,32,447,0,438,9,292,0,292,0,4,Spokane,0.256927958213291,-2.31566608601401,-0.237078754538727,0.238971805197751,1.22767094789121,-0.331728906700157,-0.18447531184215,-0.247086077813351,-0.30171597434826,1.82898198321031,-0.301727901411127,2.18750527241739,0.0016476309432,-0.233235662714594,-0.242232847692877,-0.278302780018091,0.161809111313062,1.31276666101264,-0.236178551825273,1.54182991196238,-0.566195915573269,-0.797781501191369,-0.300342770402833,-0.72302563870865,-0.752328986057168,0.709007615309319
Estimate,"1,447",63,0,48,15,78,0,53,25,176,0,129,47,345,0,345,0,371,0,355,16,414,0,414,0,5,Spokane,-0.075975471629131,-2.48821812556584,-0.237078754538727,-0.256506288880995,-0.362523471263542,-0.496384312500811,-0.18447531184215,-0.451282531620152,-0.30171597434826,-0.297584396966106,-0.301727901411127,-0.330022219734265,-0.03604192688251,1.098550621416,-0.242232847692877,1.44246331439475,-0.967576056564521,0.734360821775363,-0.236178551825273,0.865805013492413,-0.313918709364797,-0.442224552343234,-0.300342770402833,-0.364412117952217,-0.752328986057168,-5.29757150830802
Estimate,"1,286",33,0,20,13,93,0,86,7,152,0,142,10,159,0,152,7,323,0,320,3,526,0,504,22,6,Spokane,-0.356590404637664,-2.54050662239973,-0.237078754538727,-0.586825018266826,-0.41831976667248,-0.342019869562698,-0.18447531184215,-0.030127345643626,-0.773182966522439,-0.476037519778113,-0.301727901411127,-0.214783285234365,-0.733298746658146,-0.411889920341868,-0.242232847692877,-0.251964523470956,-0.7205230510913,0.369051870678139,-0.236178551825273,0.580734273173753,-0.782433520894817,-0.115811615695765,-0.300342770402833,-0.099861160017143,-0.134569145578653,-9.54099447632769
Estimate,"2,231",104,0,104,0,156,0,109,47,285,0,257,28,527,0,425,102,548,0,510,38,611,0,569,42,7,Spokane,1.29049724562982,-2.41675717989286,-0.237078754538727,0.404131169890666,-0.780995686830582,0.306310790777379,-0.18447531184215,0.263405056703649,0.274521460531292,0.512890202471759,-0.301727901411127,0.804638058418593,-0.394092726226755,2.57650857087799,-0.242232847692877,2.14481682231836,2.63233916604528,2.08143757894638,-0.236178551825273,2.12826114918934,0.478952510147545,0.131912488009904,-0.300342770402833,0.091203420713743,0.427030709401815,11.4549746694103
Estimate,"1,955",36,0,28,8,95,0,62,33,250,0,148,102,240,0,224,16,389,9,358,22,945,0,941,4,8,Spokane,0.809443074758044,-2.53527777271634,-0.237078754538727,-0.492448238442303,-0.557810505194827,-0.321437943837616,-0.18447531184215,-0.336422026353827,-0.092175088937514,0.252646065037582,-0.301727901411127,-0.16159608469595,1.00042091332452,0.24588257364946,-0.242232847692877,0.380153633660292,-0.40288347262573,0.871351678436823,1.69907555193704,0.89023964837687,-0.097681104043249,1.10532249551218,-0.300342770402833,1.18468071351205,-0.640009015061075,1.5356175104087
Estimate,"2,368",164,0,88,76,112,0,61,51,204,0,139,65,272,0,228,44,755,11,730,14,861,0,814,47,9,Spokane,1.52928138117124,-2.31218018622509,-0.237078754538727,0.21537761024162,1.33926353870909,-0.146491575174421,-0.18447531184215,-0.349184304716752,0.379291903236665,-0.089389087018765,-0.301727901411127,-0.241376885503573,0.303164093548881,0.505743312016405,-0.242232847692877,0.415271309056472,0.585328549267156,3.65683243055316,2.12913201943977,3.92013437404949,-0.385997911138646,0.860512793026575,-0.300342770402833,0.811369917314777,0.567430673146932,12.4276563691133
Estimate,"2,309",48,0,22,26,59,0,35,24,466,0,346,120,372,0,329,43,379,0,379,0,985,0,903,82,10,Spokane,1.42644733739793,-2.51436237398279,-0.237078754538727,-0.563230823310695,-0.055643846514379,-0.691912606889088,-0.18447531184215,-0.681003542152802,-0.327908585024604,1.85872417034564,-0.301727901411127,1.59358153307175,1.33962693375591,1.31780811941311,-0.242232847692877,1.30199261281003,0.550035262770982,0.795245646958234,-0.236178551825273,1.06128209256807,-0.89055232355559,1.22189854431484,-0.300342770402833,1.07298142016168,1.55023041936275,7.86320385378799
Estimate,"1,411",9,0,9,0,33,0,23,10,195,0,165,30,224,0,217,7,348,0,339,9,602,0,596,6,11,Spokane,-0.138721667829797,-2.58233741986684,-0.237078754538727,-0.716593090525545,-0.780995686830582,-0.959477641315152,-0.18447531184215,-0.834150882507902,-0.69460513449341,-0.156309008073267,-0.301727901411127,-0.010899016503774,-0.356403168401045,0.115952204465988,-0.242232847692877,0.318697701716976,-0.7205230510913,0.55931694937461,-0.236178551825273,0.735486960775311,-0.566195915573269,0.105682877029303,-0.300342770402833,0.170568708094265,-0.583849029563028,-8.59739144883145
Estimate,989,34,0,22,12,46,0,35,11,189,0,152,37,229,0,225,4,214,0,195,19,277,0,277,0,12,Spokane,-0.874246523293158,-2.53876367250527,-0.237078754538727,-0.563230823310695,-0.44621791437695,-0.82569512410212,-0.18447531184215,-0.681003542152802,-0.668412523817066,-0.200922288776269,-0.301727901411127,-0.126137951003673,-0.22448971601106,0.156555444835823,-0.242232847692877,0.388933052509337,-0.826402910579823,-0.460503872438476,-0.236178551825273,-0.437375513678607,-0.205799906704023,-0.84149751949237,-0.300342770402833,-0.767117465031162,-0.752328986057168,-12.3966938936985
Estimate,"1,521",143,0,128,15,151,0,55,96,255,0,239,16,248,0,245,3,326,0,321,5,398,0,373,25,13,Spokane,0.053002820561127,-2.34878213400881,-0.237078754538727,0.687261509364235,-0.362523471263542,0.254855976464674,-0.18447531184215,-0.425757974894302,1.55795938367211,0.28982379895675,-0.301727901411127,0.645076456803347,-0.620230073181016,0.310847758241196,-0.242232847692877,0.564521429490239,-0.861696197075998,0.391883680121715,-0.236178551825273,0.588879151468572,-0.710354319120968,-0.488854971864301,-0.300342770402833,-0.484929776567084,-0.050329167331583,-2.51138225787662
Estimate,"2,415",115,0,72,43,226,0,187,39,544,0,518,26,615,11,566,38,534,0,501,33,381,0,371,10,14,Spokane,1.611200026211,-2.39758473105377,-0.237078754538727,0.026624050592574,0.4186246644616,1.02667819115524,-0.18447531184215,1.2588627690118,0.064980575120546,2.43869681948467,-0.301727901411127,3.11828128183965,-0.431782284052466,3.29112560138709,1.41632062987774,3.38271488003372,0.373568830290109,1.97488913487636,-0.236178551825273,2.05495724453597,0.298754505712921,-0.538399792605434,-0.300342770402833,-0.490808686743419,-0.471529058566934,17.1663713615489
Estimate,"2,395",53,0,53,0,239,0,128,111,506,0,324,182,406,0,406,0,700,0,547,153,491,0,470,21,15,Spokane,1.57634102832174,-2.50564762451047,-0.237078754538727,-0.197520801490668,-0.780995686830582,1.16046070836827,-0.18447531184215,0.505888345599224,1.95084854381726,2.15614604169899,-0.301727901411127,1.39856179776423,2.50800322635292,1.59391015392798,-0.242232847692877,1.9780078641865,-0.967576056564521,3.23824925742092,-0.236178551825273,2.42962164609764,4.62350661214387,-0.217815658398099,-0.300342770402833,-0.199802633014838,-0.162649138327677,18.5855014888497
