"tract","county","median_income","mean_income","internet_with_subscription","dialup","broadband","satellite","other","internet_without_subscription","no_internet","total_native","total_foreign_born","not_citizen","naturalized_citizen","computer","no_computer","work_from_home","desktop_laptop","only_desktop_laptop","with_smartphone","only_smartphone","with_tablet","only_tablet","with_other","only_other","X65_older","median_age","moe_median_income","moe_mean_income","moe_internet_with_subscription","moe_dialup","moe_broadband","moe_satellite","moe_other","moe_no_subscription","moe_no_internet","moe_total_native","moe_total_foreign_born","moe_not_citizen","moe_naturalized_citizen","moe_computer","moe_no_computer","moe_work_from_home","moe_desktop_laptop","moe_only_desktop_laptop","moe_with_smartphone","moe_only_smartphone","moe_with_tablet","moe_only_tablet","moe_with_other","moe_only_other","moe_65_over","moe_median_age"
9503.01,"adams",39928,53032,327,0,80,132,5,11,163,1064,517,486,31,318,183,3,242,17,301,76,190,0,3,0,259,34.1,14422,12380,86,13,46,68,8,18,94,205,222,226,35,77,102,5,72,22,81,49,77,13,6,13,82,14.2
128.01,"spokane",55551,68054,1525,0,1174,132,0,0,114,4000,322,172,150,1591,48,54,1295,73,1442,162,1072,29,15,0,608,35.7,3660,6866,143,13,161,100,13,13,52,445,208,146,87,134,27,43,162,46,144,88,156,41,19,13,106,6.8
114,"spokane",57411,89068,2006,0,1677,55,24,0,109,5068,220,117,103,1987,128,260,1923,191,1719,55,1339,0,49,0,853,44.6,15287,21496,310,18,313,45,28,18,76,1018,169,118,105,310,78,243,316,90,325,85,316,18,45,18,120,6.7
106.01,"spokane",74837,91071,1285,0,1195,114,9,6,81,3794,165,33,132,1291,81,102,1222,43,1193,47,959,6,15,0,801,41.7,9685,11865,136,13,130,47,14,11,53,552,94,36,89,134,53,51,140,28,143,39,129,10,18,13,101,5.5
101.01,"spokane",55852,90468,1306,0,987,223,40,18,157,3495,123,30,93,1334,147,199,1091,41,1260,94,1081,0,62,0,903,50.8,12506,16000,245,13,254,109,37,29,104,748,93,46,84,243,103,153,187,40,241,80,252,13,49,13,297,4.4
9503.02,"adams",58884,70361,515,0,340,30,8,18,88,1669,765,571,194,566,55,26,305,0,554,132,377,0,8,0,258,29.8,7649,16089,133,13,105,32,13,21,57,388,254,274,101,124,48,41,104,13,123,114,91,13,13,13,117,7.7
128.02,"spokane",66430,79733,1293,0,1153,67,29,0,168,3361,314,136,178,1315,146,142,1186,33,1238,39,1005,10,30,10,781,41.8,9082,7437,180,13,182,36,31,13,165,391,198,94,118,179,163,93,183,29,183,29,173,16,25,15,173,6.4
115,"spokane",77583,95771,585,0,505,27,20,13,31,1541,100,24,76,603,26,166,533,24,568,41,437,0,6,0,202,41.6,29259,21166,134,13,134,20,25,14,20,375,49,21,48,134,17,128,134,18,134,25,139,13,9,13,35,2.9
106.03,"spokane",84962,108332,1850,0,1722,94,0,20,40,4100,175,50,125,1884,26,138,1757,51,1714,65,1496,19,0,0,1072,51.1,9977,25539,271,13,277,95,13,31,37,589,91,48,78,271,30,106,277,49,238,46,314,30,13,13,295,8.1
101.02,"spokane",89401,104983,929,14,624,176,57,18,98,2802,18,0,18,980,65,135,941,88,826,21,682,0,0,0,542,50.7,21152,14631,203,21,196,107,62,30,80,622,31,13,31,201,79,97,203,53,195,35,172,13,13,13,165,11.9
2.01,"spokane",36981,51277,1179,0,996,14,7,7,109,2708,66,13,53,1179,116,0,860,42,1056,183,724,20,23,0,334,37.2,4835,8566,186,13,163,17,11,12,55,444,59,16,53,153,104,13,144,25,145,105,124,18,21,13,129,5.4
9503.03,"adams",50915,74863,557,0,436,39,16,9,66,1841,673,545,128,608,24,110,396,6,581,97,305,0,31,0,271,29.8,19781,14447,124,13,130,31,26,24,48,405,268,228,82,119,28,94,104,11,122,89,115,13,36,13,134,8.2
129.01,"spokane",57846,57501,955,0,854,73,0,28,214,2858,237,103,134,1061,136,169,944,170,854,47,670,8,27,0,756,40.7,7344,4871,135,13,130,45,13,43,90,375,127,79,84,139,64,138,140,70,146,60,98,13,25,13,262,7.1
116,"spokane",53875,71846,683,0,567,28,8,3,78,1684,58,23,35,713,51,53,618,27,659,60,413,11,30,0,248,39.7,7997,12027,80,13,60,14,9,4,26,197,30,22,20,75,20,30,63,12,77,44,54,8,20,13,52,6.4
106.04,"spokane",102115,117085,1259,0,1197,99,0,14,69,3351,114,12,102,1273,69,86,1254,65,1208,19,918,0,10,0,698,54.8,25801,19539,188,13,187,68,13,23,55,440,105,19,94,188,55,57,188,52,185,29,141,13,16,13,217,2.8
102.01,"spokane",70407,84246,1531,0,1073,534,0,76,251,4270,62,13,49,1723,135,313,1538,93,1574,114,922,0,65,0,780,43.7,10501,11059,403,13,400,392,13,67,97,898,47,19,43,408,85,284,425,56,407,81,143,13,62,13,241,3.1
9400,"ferry",39375,55929,401,5,135,196,0,29,220,1632,19,5,14,523,127,49,395,44,431,42,368,22,0,0,396,43.9,6334,6651,65,6,36,47,13,14,43,152,14,7,10,70,34,31,59,18,66,18,69,14,13,13,70,3.3
2.02,"spokane",40476,44917,515,0,427,47,0,9,92,1325,58,11,47,570,46,15,450,0,547,100,324,0,0,0,97,29.2,5469,7680,122,13,134,38,13,13,47,251,59,19,56,125,35,23,119,13,123,68,81,13,13,13,59,4
9504,"adams",63750,69882,685,0,488,48,0,23,168,2274,870,729,141,713,163,23,455,46,639,187,429,28,10,0,308,25.7,25949,12726,117,13,100,29,13,28,83,370,291,268,68,115,84,23,108,29,116,89,110,28,11,13,73,2.4
129.02,"spokane",69663,85284,2257,14,1987,49,45,127,255,7346,285,90,195,2500,139,176,2352,242,2143,123,1628,0,27,0,1267,37,7634,10449,298,22,296,46,54,89,125,1186,229,68,173,295,89,93,294,110,305,70,322,18,32,18,196,3.1
117.01,"spokane",55735,72636,943,0,706,17,0,13,164,2157,92,10,82,1004,116,44,805,129,801,85,568,66,7,0,458,45.1,12613,25026,135,13,136,22,13,15,70,481,74,13,73,141,61,42,132,77,152,59,148,50,12,13,120,9.2
107.01,"spokane",89963,116521,1390,0,1336,63,0,57,15,3659,377,120,257,1447,15,187,1371,43,1392,56,1109,0,43,0,453,39.7,24984,16407,160,13,166,55,13,61,28,489,237,124,145,160,28,119,156,37,166,58,179,13,38,13,127,3
102.03,"spokane",108194,128147,1395,0,1210,223,17,18,36,4222,182,40,142,1449,0,292,1396,22,1427,36,1182,0,32,0,599,42.5,21696,14638,113,13,142,89,27,27,56,443,161,43,152,99,13,128,118,33,100,56,120,13,41,13,102,6.7
9701,"ferry",36959,62146,798,9,439,279,18,34,432,2975,49,39,10,1097,167,135,811,171,804,190,567,11,0,0,802,52.8,10209,8047,124,10,119,77,18,35,111,245,34,31,13,129,59,98,128,64,138,103,92,16,13,13,131,3.4
3.01,"spokane",35778,42111,975,0,792,43,28,27,93,2460,104,40,64,1026,69,130,779,50,948,140,535,0,0,0,302,35.4,7231,6295,142,13,160,45,34,43,90,424,99,63,71,130,82,90,160,55,146,77,109,13,13,13,122,3.5
9505,"adams",48542,65116,1368,0,1076,174,0,99,227,3946,1714,1266,448,1519,175,149,807,25,1483,461,790,0,17,0,365,24.2,4808,15037,208,18,166,101,18,98,100,466,363,374,181,178,96,107,144,29,177,194,190,18,29,18,102,1.5
130.01,"spokane",116818,119762,400,0,339,0,0,0,0,1036,70,47,23,400,0,122,380,20,360,0,271,20,0,0,187,45.7,20339,20686,77,13,104,13,13,13,13,247,61,38,50,77,13,153,90,29,85,13,102,29,13,13,44,4.4
9606,"asotin",53947,69600,1392,14,1041,74,57,11,203,3805,89,56,33,1542,64,115,1347,163,1333,84,915,37,22,0,909,48.1,12825,11675,184,21,176,41,59,17,105,419,91,86,32,167,45,90,171,69,172,47,174,39,26,13,155,5.2
117.02,"spokane",37020,47004,2725,0,2073,87,57,164,340,6841,690,429,261,3083,146,118,2471,194,2816,453,1898,0,81,0,827,28.9,9147,4912,372,18,350,61,70,114,129,847,360,322,170,348,94,99,340,98,381,227,336,18,84,18,203,1.6
1,"whitman",12473,28106,1050,0,921,66,0,52,75,5857,357,292,65,1160,17,184,1092,17,1109,58,630,0,0,0,86,20.2,5082,6361,177,18,183,41,18,40,58,522,135,124,45,171,27,84,173,16,169,38,110,18,18,18,48,0.3
107.02,"spokane",111625,119507,1124,0,1001,123,0,11,27,3320,366,78,288,1135,27,146,1076,48,1018,11,1013,39,118,0,320,34.2,51850,16706,135,13,152,76,13,18,33,503,178,76,178,138,33,88,138,37,144,18,135,60,80,13,139,2.5
102.04,"spokane",79417,112051,937,20,360,421,95,2,35,3134,0,0,0,939,35,143,822,79,787,97,640,0,47,0,600,46,20953,22399,127,30,150,113,69,13,38,565,13,13,13,127,38,99,104,77,149,113,133,13,58,13,223,3.2
9702,"ferry",44283,68345,960,24,668,142,10,48,253,2925,43,2,41,1063,198,176,876,158,785,124,561,20,56,0,897,54.5,5658,14753,124,24,139,50,11,48,80,260,29,4,28,147,74,125,160,64,128,61,125,22,46,13,142,2.2
3.02,"spokane",41271,63836,878,0,763,22,3,66,91,2519,241,186,55,946,89,12,716,168,756,63,517,0,11,0,313,31.7,9958,42348,171,13,175,40,19,56,57,614,172,140,78,163,59,24,184,138,128,59,124,13,18,13,104,2.5
9601,"asotin",73942,103660,1569,8,1183,253,47,30,183,4159,161,142,19,1664,118,145,1497,150,1401,81,1121,50,99,0,1337,50.1,15326,15234,200,13,197,88,37,28,66,483,123,122,21,191,55,114,190,65,183,44,205,36,85,13,183,6.5
130.02,"spokane",50394,53316,1137,0,901,22,0,0,172,2576,233,124,109,1230,79,18,1007,100,1110,174,677,0,48,0,410,33.1,6546,5806,164,13,175,30,13,13,113,374,184,118,105,177,67,28,180,69,193,134,182,13,50,13,127,4
118,"spokane",39885,49682,1983,0,1529,183,0,360,504,5488,189,61,128,2470,377,182,1765,187,2230,235,1416,32,15,0,1224,37.1,8039,7523,322,18,275,108,18,317,163,1015,113,54,96,411,134,131,288,106,405,140,441,50,25,18,291,6
2.01,"whitman",57083,71188,1868,0,1739,72,0,28,9,3573,721,417,304,1878,27,99,1785,54,1715,52,1231,34,11,0,448,30.4,24227,9235,321,13,306,41,13,29,11,672,298,225,174,322,33,69,321,42,336,79,240,34,15,13,168,2.2
108,"spokane",47083,78537,750,0,674,11,0,28,193,2264,49,12,37,823,148,31,709,67,711,77,492,13,17,0,347,35.3,15994,37854,100,13,95,11,13,19,111,332,32,19,25,104,103,36,100,35,103,47,74,14,13,13,73,3.2
103.01,"spokane",52959,64882,1683,17,1464,186,82,0,304,4714,93,45,48,1833,154,123,1452,104,1667,297,1124,0,15,0,813,35.6,4132,12121,164,19,176,78,78,13,111,284,70,53,47,183,79,79,158,61,183,142,135,13,16,13,175,5.6
4,"spokane",43889,48951,1451,0,1292,86,0,42,145,3589,264,233,31,1488,150,173,1150,97,1327,165,897,45,14,0,507,34.2,13697,5463,234,13,229,47,13,31,68,462,177,174,38,225,70,192,228,53,218,79,223,49,16,13,105,3.3
9602,"asotin",72988,96387,1780,27,1414,104,13,12,222,4659,96,22,74,1872,142,421,1679,81,1679,101,1463,0,14,0,1352,53.9,16827,18644,156,32,189,84,21,19,91,514,82,37,69,151,82,223,183,51,172,86,165,13,22,13,185,2.7
130.03,"spokane",86474,113202,2125,0,1850,42,0,81,122,5942,380,23,357,2178,150,311,2066,86,2040,0,1596,26,25,0,1050,39.3,23559,18622,303,18,282,50,18,68,86,1011,166,38,165,306,80,176,293,67,311,18,239,41,40,18,210,4.8
119,"spokane",53038,63538,1801,8,1584,73,21,36,225,4858,331,187,144,1873,189,454,1744,51,1787,52,1076,6,0,0,817,33.4,12793,6916,272,12,270,38,22,50,97,626,205,186,98,265,90,467,264,29,270,49,185,10,18,18,200,2
2.02,"whitman",46484,68729,881,0,815,17,0,19,45,2195,245,214,31,945,0,0,897,0,885,13,744,21,125,0,112,28.5,8903,11358,159,13,186,22,13,31,43,276,233,211,45,159,13,13,160,13,157,23,141,32,75,13,52,1.1
109.01,"spokane",62660,62583,759,0,648,10,8,13,41,2153,79,48,31,803,10,182,649,47,719,88,513,28,30,0,467,41.8,14906,9713,130,13,141,13,13,19,32,494,41,38,29,128,15,167,126,31,134,70,126,42,38,13,124,7.8
103.03,"spokane",75635,90989,1192,0,720,166,99,18,26,3365,207,47,160,1210,26,179,1091,64,1082,57,779,27,23,0,712,45.8,12958,12153,163,13,169,78,47,19,40,485,150,51,115,163,40,114,178,40,163,46,142,42,24,13,153,7.4
5,"spokane",53932,68649,1344,0,1186,78,4,9,94,3367,155,13,142,1368,79,70,1156,105,1174,168,821,20,21,0,471,37.3,6311,14686,120,13,123,46,7,15,48,546,97,20,95,122,43,41,105,55,139,74,122,22,23,13,63,4.2
9603,"asotin",38077,46905,1156,0,822,47,10,16,192,3537,96,70,26,1279,85,6,977,59,1193,207,787,0,34,0,396,34.5,3216,5339,149,13,155,29,15,18,80,334,57,44,25,142,47,9,157,43,145,79,146,13,39,13,103,2.4
131.01,"spokane",56166,81197,2927,0,2563,138,110,64,432,6480,372,120,252,3365,58,348,2843,89,3212,393,2090,30,46,0,1049,40.3,14922,14475,499,18,496,90,127,74,481,1081,209,106,180,691,68,194,488,85,700,483,498,48,52,18,554,3.3
120,"spokane",50679,60373,1697,7,1478,77,0,9,136,3891,83,7,76,1762,80,40,1405,180,1528,276,912,21,34,0,751,39.5,6904,10099,319,10,328,48,13,16,77,638,63,12,59,319,59,28,177,101,273,220,134,34,33,13,198,3.8
3,"whitman",82103,102330,2249,0,1974,165,25,14,129,5336,725,448,277,2351,41,227,2272,130,2204,27,1779,0,36,0,709,34.1,17143,11616,242,18,248,103,29,24,96,553,201,268,184,242,37,166,249,89,258,31,224,18,38,18,159,2.2
109.02,"spokane",78693,91047,685,0,612,34,0,0,0,3058,327,104,223,685,0,140,642,22,636,22,515,0,19,0,338,20.7,12366,11078,86,13,89,33,13,13,13,405,158,64,148,86,13,70,86,23,86,21,89,13,23,13,100,0.5
103.04,"spokane",54171,67425,1928,28,1170,413,70,40,289,5619,81,48,33,2074,183,143,1717,114,1873,258,1299,29,0,0,1071,43.9,12151,10557,215,32,262,133,58,64,145,696,63,55,34,216,126,102,274,72,220,158,253,37,18,18,202,2.6
6,"spokane",65545,75441,1224,0,987,51,0,22,40,3190,56,56,0,1267,19,100,1155,56,1186,89,699,0,49,0,339,31.5,7654,9433,116,13,129,38,13,19,20,371,44,44,13,120,17,59,111,48,129,64,127,13,44,13,72,2.9
9604,"asotin",38777,47096,805,73,463,95,12,9,180,2448,69,36,33,941,53,29,750,109,715,111,581,16,20,0,647,38.9,3537,5926,129,98,87,47,22,9,62,381,40,27,32,136,36,30,124,41,103,53,138,19,19,13,172,7
131.02,"spokane",83320,95452,1961,19,1731,273,54,20,84,4896,239,143,96,1981,84,235,1850,120,1836,49,1503,0,97,0,936,43.6,14575,15320,261,36,289,165,84,31,90,639,194,172,88,249,90,162,251,85,270,61,230,18,119,18,180,6.2
121,"spokane",49646,59621,956,0,725,61,21,17,146,2477,74,13,61,1008,111,142,792,40,958,116,655,10,20,0,377,38,7872,7400,139,13,134,39,30,20,63,390,58,16,56,139,58,127,136,33,140,73,140,17,22,13,73,3.4
4,"whitman",50859,76081,1594,0,1423,102,29,173,231,3882,585,381,204,1774,224,88,1636,177,1513,90,1024,23,20,0,929,35.9,15900,11118,196,13,207,62,33,113,117,495,239,214,100,197,106,53,204,76,205,64,141,36,22,13,155,3.8
110,"spokane",61121,68341,1319,8,1111,50,10,7,150,3368,93,26,67,1388,88,46,1187,64,1291,148,908,8,35,7,538,39.3,14557,6819,160,14,171,40,16,11,77,452,73,57,47,170,52,38,160,37,166,76,149,13,29,14,126,4.1
103.05,"spokane",100705,104291,2512,0,1990,284,76,21,111,7437,169,75,94,2604,40,340,2517,113,2427,17,2204,0,54,0,1132,39.7,19850,13123,506,18,507,100,60,32,143,1332,92,82,57,515,41,155,519,142,507,27,504,18,52,18,243,3.1
7,"spokane",53867,69125,1974,0,1775,82,10,80,177,5158,86,65,21,2134,97,79,1836,92,1926,188,1454,35,65,14,649,33.7,8377,9124,335,18,323,59,17,71,97,833,67,61,24,298,52,76,284,57,313,119,307,31,77,22,134,4.7
9605,"asotin",42639,54163,1198,6,956,79,15,24,304,3323,194,137,57,1345,181,26,1157,96,1163,141,737,39,15,0,635,36.8,4581,5600,137,10,119,52,25,22,114,256,84,81,52,130,77,26,128,48,124,86,131,38,19,13,111,4.8
132.01,"spokane",64830,84839,2500,18,2185,113,15,34,162,7188,203,154,49,2637,59,172,2395,156,2375,126,1883,40,42,0,1442,43,8337,15021,220,28,213,70,27,42,92,692,107,102,43,200,43,102,211,87,221,84,242,45,51,18,274,3.9
122,"spokane",53889,61092,772,5,647,60,18,23,167,2247,56,18,38,846,116,53,690,61,774,116,476,5,16,0,269,38.2,9872,6074,97,7,95,35,25,20,71,307,36,18,26,105,56,32,92,34,110,57,92,9,17,13,44,6.5
5,"whitman",21696,32224,178,0,118,6,0,246,23,3570,463,363,100,430,17,207,424,0,430,6,231,0,0,0,7,19.8,14400,7304,95,13,81,11,13,84,28,784,150,141,67,111,20,105,113,13,111,10,106,13,13,13,17,0.3
111.02,"spokane",50243,61338,1604,0,1433,14,17,33,92,4218,185,62,123,1627,102,70,1375,18,1530,135,965,10,31,0,555,30.7,9875,6295,232,13,248,18,22,28,57,598,130,70,100,211,89,65,209,29,213,96,160,19,35,13,129,2.1
104.01,"spokane",55490,62569,1583,0,1316,75,0,35,134,7020,655,318,337,1636,116,60,1300,44,1528,241,1099,17,25,0,616,33.5,6151,6048,141,18,160,47,18,32,61,340,213,154,138,153,62,38,143,27,145,99,162,26,23,18,194,1.5
8,"spokane",73271,84057,1770,9,1566,67,26,50,135,5205,76,19,57,1837,118,205,1752,196,1551,24,1299,17,15,0,1370,44.6,11600,6140,150,13,138,35,22,57,72,388,46,21,42,149,61,88,160,87,155,23,145,18,17,18,189,3.4
132.03,"spokane",84509,125937,1026,0,955,31,0,23,12,2590,83,9,74,1049,12,134,982,93,924,57,588,0,55,0,563,42.2,15278,43353,229,13,223,37,13,27,19,554,66,15,57,226,19,96,222,76,221,55,163,13,62,13,321,9.7
123,"spokane",51847,63688,2147,106,1685,209,78,62,324,5716,434,210,224,2246,287,78,1773,138,1955,275,1432,51,46,18,921,33.5,10892,9921,338,147,295,132,85,77,144,1298,266,143,196,336,143,64,264,56,328,213,238,83,48,29,263,7.4
6.01,"whitman",17294,30924,1885,0,1736,170,0,345,20,3102,1568,1358,210,2250,0,91,2156,0,2239,38,1509,0,44,0,52,22.4,2792,11988,310,13,299,113,13,137,24,526,370,369,126,322,13,61,307,13,322,41,329,13,51,13,33,0.4
111.03,"spokane",25202,40444,1385,38,1147,56,0,36,264,2452,392,276,116,1422,263,25,1180,133,1105,90,981,98,20,0,1144,58.3,5580,6773,285,43,292,55,13,57,108,393,222,201,95,291,111,34,307,90,305,77,336,93,30,13,332,6.3
104.03,"spokane",83542,87962,1130,0,426,400,60,4,88,2969,382,38,344,1148,74,72,1007,65,1003,123,689,7,0,0,636,43.3,17657,11110,189,13,179,113,52,6,65,486,272,55,266,189,63,63,216,59,185,93,151,10,13,13,120,3.4
9,"spokane",63149,67861,2071,11,1829,79,0,13,284,6077,95,44,51,2177,191,299,2006,182,1910,91,1649,16,50,0,920,38.8,4826,6710,241,19,230,63,18,22,115,721,70,39,45,227,105,196,234,78,261,72,252,25,38,18,92,2.6
132.04,"spokane",101742,130089,1499,0,1374,105,0,51,52,4727,86,18,68,1550,52,518,1370,31,1428,32,1386,91,10,0,633,36.3,15298,27215,238,13,232,74,13,62,52,922,74,31,64,247,49,285,239,38,259,40,241,122,18,13,202,2.4
124.01,"spokane",92024,111182,1774,0,1618,154,20,150,244,5731,125,23,102,1825,343,207,1765,106,1667,33,1428,0,158,0,1463,47.7,16823,19171,258,18,262,132,31,179,99,928,65,30,58,264,195,72,270,58,260,42,279,18,213,18,299,4.4
6.02,"whitman",21024,32305,1618,0,1436,99,0,223,156,3800,579,413,166,1947,50,30,1843,42,1905,104,1322,0,0,0,92,22.4,5500,5946,228,13,245,82,13,117,127,717,183,173,101,263,80,33,258,35,263,92,237,13,13,13,70,0.3
111.04,"spokane",33828,43195,1119,40,940,35,16,15,160,3207,48,0,48,1164,130,37,776,0,1063,301,584,13,44,0,423,27.6,11976,8633,236,37,229,41,27,24,91,665,68,13,68,231,88,43,216,13,235,161,215,21,55,13,122,6
104.04,"spokane",76063,92417,1048,45,578,231,20,2,209,2954,45,21,24,1157,102,174,1030,153,983,105,734,0,0,0,729,51.3,23654,17278,143,48,148,103,32,4,113,402,48,35,33,137,69,120,130,89,142,96,145,13,13,13,198,3.4
112.03,"spokane",38458,54965,2125,14,1974,66,0,94,439,5020,590,488,102,2321,337,102,1850,176,2092,315,1235,18,15,0,1021,31.7,7451,9836,320,23,341,71,18,81,245,905,297,306,84,299,230,66,283,80,316,172,246,28,26,18,270,5.1
10,"spokane",61536,76532,2014,0,1616,72,21,0,295,5436,82,13,69,2127,182,50,1823,90,1899,195,1386,44,78,0,890,42.3,18468,10632,282,18,167,64,24,18,108,960,70,23,65,282,93,42,322,67,298,99,182,50,57,18,123,3.4
132.05,"spokane",131750,168506,1141,0,953,138,14,0,70,3486,125,50,75,1211,0,239,1060,65,1059,79,990,44,31,0,318,34.3,72888,50921,226,13,229,92,23,13,78,1015,137,70,73,222,13,153,228,57,234,79,238,73,37,13,118,4.6
124.02,"spokane",107585,124313,2302,0,1982,182,58,12,133,6144,357,203,154,2394,53,252,2144,71,2242,77,1955,0,17,0,1037,42.9,17660,16513,184,18,192,83,69,19,88,412,126,119,84,180,48,122,163,53,187,79,202,18,27,18,191,4.2
7,"whitman",65900,76123,1218,6,895,239,71,66,196,3344,72,22,50,1359,121,142,1213,122,1111,42,976,45,23,0,725,48.6,9970,5744,120,7,121,48,29,31,55,335,39,22,32,131,37,58,120,38,106,19,112,29,10,13,89,2.4
112.02,"spokane",60685,90380,1450,0,1218,181,10,42,110,3881,158,39,119,1527,75,151,1383,117,1390,77,918,5,41,0,701,43.1,8389,12382,234,13,224,51,10,45,54,489,87,37,94,215,39,69,221,77,207,61,175,6,29,13,176,4.2
105.04,"spokane",76339,93164,1288,7,1091,77,9,0,40,3295,72,34,38,1307,21,64,1216,71,1171,38,1009,0,27,0,714,48.9,12689,16089,109,12,119,44,14,13,31,354,55,40,38,111,23,39,110,40,125,30,77,13,24,13,97,6.9
112.04,"spokane",51417,58566,865,12,804,91,9,0,116,1493,556,45,511,880,101,56,796,22,840,54,652,18,0,0,631,38.5,16830,10094,156,20,164,70,14,13,77,355,239,34,243,157,75,57,167,26,157,60,164,34,13,13,188,10.2
11,"spokane",68102,77108,1349,0,1246,62,26,0,62,3326,118,37,81,1311,100,161,1236,80,1182,48,955,0,52,0,526,34.7,13693,8469,195,13,204,44,31,13,36,514,82,40,70,200,62,86,205,40,210,41,200,13,37,13,72,3.8
133,"spokane",111389,127783,1102,12,574,435,54,53,53,3289,65,10,55,1182,26,225,1175,113,1060,7,825,0,32,0,486,46.1,25784,15393,186,18,119,165,57,39,33,453,49,14,47,178,23,219,178,54,179,11,175,13,31,13,101,5.2
9502,"stevens",65427,81776,1115,9,407,437,62,80,293,4255,98,47,51,1308,180,85,1159,130,1030,120,847,10,17,0,683,40.1,7767,10457,146,15,98,122,45,59,127,510,74,67,45,164,76,47,149,58,133,80,138,16,19,13,71,3.1
125,"spokane",55873,68908,1229,0,1027,13,59,19,97,3426,303,154,149,1221,124,31,958,66,1132,154,867,0,9,0,560,37.3,12538,14641,165,13,149,19,66,23,70,498,171,162,86,166,76,22,155,43,161,78,151,13,15,13,157,6.4
8,"whitman",54904,68927,1096,0,975,162,47,35,293,3602,84,35,49,1283,141,51,1091,148,1042,79,751,19,36,11,826,44.6,2752,11503,167,13,156,69,39,29,132,400,86,40,50,206,75,35,189,83,168,60,154,25,32,18,161,5.8
105.05,"spokane",88681,97061,1212,0,1081,80,58,0,29,3512,168,94,74,1241,0,94,1150,83,1158,72,963,0,26,0,545,33.6,13402,13997,172,13,196,84,72,13,26,583,118,110,62,172,13,73,177,90,154,83,169,13,31,13,177,3.7
12,"spokane",49828,61679,906,0,797,40,0,18,65,2354,122,57,65,933,56,162,821,63,820,66,609,0,33,0,296,33.1,8766,8064,101,13,95,26,13,14,35,311,62,41,43,97,29,76,109,37,102,40,105,13,23,13,66,3.9
